"Process synthesis MINLP de Yuan et al (1988)",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","4.579582"
"",""
"Statistics: ",""
"Best","4.579582402436708"
"Mean","5.5324848784283285"
"Median","5.632729582996653"
"St.d","0.6049140200733378"
"Worst","7.950071225215755"
"FeasibleRate","100.0"
"SuccessRate","16.0"
"SuccessPerformance","38016.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","y1","y2","y3","y4","OF","CVS"
"1.0","1.0000000066751082","0.7999999999999998","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"2.0","0.19999999999971138","0.7999999999999999","1.9078784028338907","1.0","1.0","0.0","1.0","4.57958240243717","0.0"
"3.0","1.0000000000137006","0.7999999999999999","1.9078784028338909","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"4.0","0.9999999913884768","0.7999999999999998","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"5.0","1.0000000123801056","0.7999999999999998","1.9078784028338909","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"6.0","1.0000000065107562","0.7999999999999997","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"7.0","0.6999999999982549","0.7999999999999113","1.4999999999987974","0.0","1.0","1.0","0.0","5.7800000000048675","0.0"
"8.0","0.19999999999998383","0.7999999999999978","1.907878402833864","1.0","1.0","0.0","0.0","5.272729582996742","0.0"
"9.0","1.4998086362235182E-17","0.5000000059850577","1.4999999940149427","1.0","1.0","1.0","1.0","5.806852819440053","0.0"
"10.0","0.19999999999999937","0.7999999999999998","1.907878402833891","1.0","1.0","0.0","1.0","4.579582402436708","0.0"
"11.0","0.20000000000000004","0.7999999999999997","1.5000000000000002","0.0","1.0","1.0","1.0","5.636852819440055","0.0"
"12.0","1.0000000079963103","0.7999999999999998","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"13.0","1.0000000079114197","0.7999999999999997","1.9078784028338907","0.0","1.0","0.0","0.0","5.632729582996654","0.0"
"14.0","0.6999999999911398","0.7999999999999998","1.5000000000000002","0.0","1.0","1.0","0.0","5.780000000005316","0.0"
"15.0","0.9999999899649287","0.7999999999999999","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"16.0","0.9999999876421949","0.7999999999999999","1.9078784028338909","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"17.0","1.0000000132883575","0.7999999999999998","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"18.0","0.1999999999999999","0.7999999999999997","1.9078784028338909","1.0","1.0","0.0","1.0","4.579582402436708","0.0"
"19.0","1.0000000080434193","0.7999999999999997","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"20.0","0.1999999999999927","0.7999999999999999","1.907878402833891","1.0","1.0","0.0","1.0","4.579582402436719","0.0"
"21.0","1.0000000140848175","0.7999999999999997","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"22.0","1.0000000114718899","0.7999999999999997","1.9078784028338909","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"23.0","0.1999999999813311","0.7999999999896198","1.9078784028259674","1.0","1.0","0.0","1.0","4.579582402508797","0.0"
"24.0","1.000000013772918","0.7999999999999999","1.907878402833891","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"25.0","0.19712875475538927","0.7978465360152343","1.4999186167889083","0.0","1.0","1.0","1.0","5.64687216310776","0.0"
"26.0","0.6267831667256962","1.2535663492920817","1.8803495073607541","0.0","0.0","0.0","0.0","7.950071225215755","0.0"
"27.0","0.9999999386777578","0.7999999999999999","1.9078784028338867","0.0","1.0","0.0","0.0","5.632729582996666","0.0"
"28.0","0.19999999999999984","0.7999999999999999","1.907878402833891","1.0","1.0","0.0","0.0","5.272729582996653","0.0"
"29.0","0.999999987172147","0.7999999999999999","1.9078784028338909","0.0","1.0","0.0","0.0","5.632729582996653","0.0"
"30.0","4.1537669923661463E-16","0.500000004169254","1.4999999958307462","1.0","1.0","1.0","1.0","5.806852819440053","0.0"
